design_mode,scenario,outage_start_hour,outage_end_hour_exclusive,affected_services,installed_resource_count,installed_blackstart_overlap_count,affected_demand_mwh,served_mwh,unserved_mwh,critical_demand_mwh,critical_unserved_mwh,customer_block_hours_equivalent_unserved,worst_hour_customer_fraction_unserved,black_start_services_started,black_start_services_required,all_affected_services_black_started,all_critical_energy_served,all_affected_load_energy_served,minimum_end_of_day_soc_fraction,physical_constraints_pass,reliability_shortfall
cost_efficient,lateral_22_24_fault,20,24,MG_lateral_22_24,4,0,3.3573,0.0,3.3573,3.0324,3.0324,12.0,0.09375,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_25_32_fault,0,4,MG_lateral_25_32,4,0,2.5208,0.0,2.5208,0.5754,0.5754,32.0,0.25,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_25_32_fault,4,8,MG_lateral_25_32,4,0,2.7784,0.0,2.7784,0.6342,0.6342,32.0,0.25,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_25_32_fault,8,12,MG_lateral_25_32,4,0,3.5604,0.0,3.5604,0.8127,0.8127,32.0,0.25,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_25_32_fault,12,16,MG_lateral_25_32,4,0,3.6432,0.0,3.6432,0.8316,0.8316,32.0,0.25,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_25_32_fault,16,20,MG_lateral_25_32,4,0,4.1124,0.0,4.1124,0.9387,0.9387,32.0,0.25,0,1,False,False,False,0.85,True,True
cost_efficient,lateral_25_32_fault,20,24,MG_lateral_25_32,4,0,3.3212,0.0,3.3212,0.7581,0.7581,32.0,0.25,0,1,False,False,False,0.85,True,True
cost_efficient,compound_two_lateral_fault,0,4,MG_lateral_22_24;MG_lateral_25_32,4,0,5.069,0.0,5.069,2.877,2.877,44.0,0.34375,0,2,False,False,False,0.85,True,True
cost_efficient,compound_two_lateral_fault,4,8,MG_lateral_22_24;MG_lateral_25_32,4,0,5.587,0.0,5.587,3.171,3.171,44.0,0.34375,0,2,False,False,False,0.85,True,True
cost_efficient,compound_two_lateral_fault,8,12,MG_lateral_22_24;MG_lateral_25_32,4,0,7.1595,0.0,7.1595,4.0635,4.0635,44.0,0.34375,0,2,False,False,False,0.85,True,True
cost_efficient,compound_two_lateral_fault,12,16,MG_lateral_22_24;MG_lateral_25_32,4,0,7.326,0.0,7.326,4.158,4.158,44.0,0.34375,0,2,False,False,False,0.85,True,True
cost_efficient,compound_two_lateral_fault,16,20,MG_lateral_22_24;MG_lateral_25_32,4,0,8.2695,0.0,8.2695,4.6935,4.6935,44.0,0.34375,0,2,False,False,False,0.85,True,True
cost_efficient,compound_two_lateral_fault,20,24,MG_lateral_22_24;MG_lateral_25_32,4,0,6.6785,0.0,6.6785,3.7905,3.7905,44.0,0.34375,0,2,False,False,False,0.85,True,True
balanced_critical,upstream_PCC_outage,0,4,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,5,1,10.1791,9.6066,0.5725,2.877,0.0282,7.841034934,0.245032342,4,4,True,False,False,0.25,True,True
balanced_critical,upstream_PCC_outage,4,8,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,5,1,11.2193,10.307422642,0.911877358,3.171,0.030592453,10.038554546,0.31370483,4,4,True,False,False,0.25,True,True
balanced_critical,upstream_PCC_outage,8,12,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,5,1,14.37705,14.37705,0.0,4.0635,0.0,0.0,0.0,4,4,True,True,True,0.411868335,True,False
balanced_critical,upstream_PCC_outage,12,16,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,5,1,14.7114,14.7114,0.0,4.158,0.0,0.0,0.0,4,4,True,True,True,0.579073011,True,False
balanced_critical,upstream_PCC_outage,16,20,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,5,1,16.60605,13.444653857,3.161396143,4.6935,0.2352,27.911548261,0.71900099,4,4,True,False,False,0.25,True,True
balanced_critical,upstream_PCC_outage,20,24,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,5,1,13.41115,11.089970838,2.321179162,3.7905,0.1638,28.682349721,0.713403126,4,4,True,False,False,0.25,True,True
balanced_critical,lateral_22_24_fault,0,4,MG_lateral_22_24,5,1,2.5482,2.024,0.5242,2.3016,0.4648,2.562072336,0.080064761,1,1,True,False,False,0.85,True,True
balanced_critical,lateral_22_24_fault,4,8,MG_lateral_22_24,5,1,2.8086,2.137207547,0.671392453,2.5368,0.593992453,2.518351286,0.078698478,1,1,True,False,False,0.85,True,True
balanced_critical,lateral_22_24_fault,8,12,MG_lateral_22_24,5,1,3.5991,3.5991,0.0,3.2508,0.0,0.0,0.0,1,1,True,True,True,0.85,True,False
balanced_critical,lateral_22_24_fault,12,16,MG_lateral_22_24,5,1,3.6828,3.677596226,0.005203774,3.3264,0.0,0.016457222,0.000514288,1,1,True,True,False,0.71935838,True,True
balanced_critical,lateral_22_24_fault,16,20,MG_lateral_22_24,5,1,4.1571,2.99109434,1.16600566,3.7548,0.802498113,3.355343882,0.079267564,1,1,True,False,False,0.25,True,True
balanced_critical,lateral_22_24_fault,20,24,MG_lateral_22_24,5,1,3.3573,2.576,0.7813,3.0324,0.6552,3.200698324,0.09375,1,1,True,False,False,0.25,True,True
balanced_critical,lateral_25_32_fault,0,4,MG_lateral_25_32,5,1,2.5208,0.0,2.5208,0.5754,0.5754,32.0,0.25,0,1,False,False,False,0.85,True,True
balanced_critical,lateral_25_32_fault,4,8,MG_lateral_25_32,5,1,2.7784,0.0,2.7784,0.6342,0.6342,32.0,0.25,0,1,False,False,False,0.85,True,True
balanced_critical,lateral_25_32_fault,8,12,MG_lateral_25_32,5,1,3.5604,0.0,3.5604,0.8127,0.8127,32.0,0.25,0,1,False,False,False,0.85,True,True
balanced_critical,lateral_25_32_fault,12,16,MG_lateral_25_32,5,1,3.6432,0.0,3.6432,0.8316,0.8316,32.0,0.25,0,1,False,False,False,0.85,True,True
balanced_critical,lateral_25_32_fault,16,20,MG_lateral_25_32,5,1,4.1124,0.0,4.1124,0.9387,0.9387,32.0,0.25,0,1,False,False,False,0.85,True,True
balanced_critical,lateral_25_32_fault,20,24,MG_lateral_25_32,5,1,3.3212,0.0,3.3212,0.7581,0.7581,32.0,0.25,0,1,False,False,False,0.85,True,True
balanced_critical,compound_two_lateral_fault,0,4,MG_lateral_22_24;MG_lateral_25_32,5,1,5.069,2.024,3.045,2.877,1.0402,34.562072336,0.330064761,1,2,False,False,False,0.85,True,True
balanced_critical,compound_two_lateral_fault,4,8,MG_lateral_22_24;MG_lateral_25_32,5,1,5.587,2.137207547,3.449792453,3.171,1.228192453,34.518351286,0.328698478,1,2,False,False,False,0.85,True,True
balanced_critical,compound_two_lateral_fault,8,12,MG_lateral_22_24;MG_lateral_25_32,5,1,7.1595,3.5991,3.5604,4.0635,0.8127,32.0,0.25,1,2,False,False,False,0.85,True,True
balanced_critical,compound_two_lateral_fault,12,16,MG_lateral_22_24;MG_lateral_25_32,5,1,7.326,3.677596226,3.648403774,4.158,0.8316,32.016457222,0.250514288,1,2,False,False,False,0.71935838,True,True
balanced_critical,compound_two_lateral_fault,16,20,MG_lateral_22_24;MG_lateral_25_32,5,1,8.2695,2.99109434,5.27840566,4.6935,1.741198113,35.355343882,0.329267564,1,2,False,False,False,0.25,True,True
balanced_critical,compound_two_lateral_fault,20,24,MG_lateral_22_24;MG_lateral_25_32,5,1,6.6785,2.576,4.1025,3.7905,1.4133,35.200698324,0.34375,1,2,False,False,False,0.25,True,True
robust_critical,upstream_PCC_outage,0,4,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,10.1791,10.1034,0.0757,2.877,0.0,1.295580389,0.040486887,4,4,True,True,False,0.299058538,True,True
robust_critical,upstream_PCC_outage,4,8,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,11.2193,10.948615094,0.270684906,3.171,0.0,3.555314376,0.111103574,4,4,True,True,False,0.299058538,True,True
robust_critical,upstream_PCC_outage,8,12,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,14.37705,14.37705,0.0,4.0635,0.0,0.0,0.0,4,4,True,True,True,0.631345376,True,False
robust_critical,upstream_PCC_outage,12,16,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,14.7114,14.7114,0.0,4.158,0.0,0.0,0.0,4,4,True,True,True,0.757974658,True,False
robust_critical,upstream_PCC_outage,16,20,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,16.60605,15.117959517,1.488090483,4.6935,0.0,15.008031687,0.46900099,4,4,True,True,False,0.25,True,True
robust_critical,upstream_PCC_outage,20,24,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,13.41115,12.387170838,1.023979162,3.7905,0.0,14.828900041,0.463403126,4,4,True,True,False,0.25,True,True
robust_critical,lateral_22_24_fault,0,4,MG_lateral_22_24,6,2,2.5482,2.024,0.5242,2.3016,0.4648,2.562072336,0.080064761,1,1,True,False,False,0.857726368,True,True
robust_critical,lateral_22_24_fault,4,8,MG_lateral_22_24,6,2,2.8086,2.137207547,0.671392453,2.5368,0.593992453,2.518351286,0.078698478,1,1,True,False,False,0.857726368,True,True
robust_critical,lateral_22_24_fault,8,12,MG_lateral_22_24,6,2,3.5991,3.5991,0.0,3.2508,0.0,0.0,0.0,1,1,True,True,True,0.857726368,True,False
robust_critical,lateral_22_24_fault,12,16,MG_lateral_22_24,6,2,3.6828,3.677596226,0.005203774,3.3264,0.0,0.016457222,0.000514288,1,1,True,True,False,0.71935838,True,True
robust_critical,lateral_22_24_fault,16,20,MG_lateral_22_24,6,2,4.1571,2.99109434,1.16600566,3.7548,0.802498113,3.355343882,0.079267564,1,1,True,False,False,0.25,True,True
robust_critical,lateral_22_24_fault,20,24,MG_lateral_22_24,6,2,3.3573,2.576,0.7813,3.0324,0.6552,3.200698324,0.09375,1,1,True,False,False,0.25,True,True
robust_critical,lateral_25_32_fault,0,4,MG_lateral_25_32,6,2,2.5208,2.024,0.4968,0.5754,0.0282,6.545454545,0.204545455,1,1,True,False,False,0.863257264,True,True
robust_critical,lateral_25_32_fault,4,8,MG_lateral_25_32,6,2,2.7784,2.137207547,0.641192453,0.6342,0.030592453,6.48324017,0.202601255,1,1,True,False,False,0.863257264,True,True
robust_critical,lateral_25_32_fault,8,12,MG_lateral_25_32,6,2,3.5604,3.5604,0.0,0.8127,0.0,0.0,0.0,1,1,True,True,True,0.860148868,True,False
robust_critical,lateral_25_32_fault,12,16,MG_lateral_25_32,6,2,3.6432,3.6432,0.0,0.8316,0.0,0.0,0.0,1,1,True,True,True,0.729073011,True,False
robust_critical,lateral_25_32_fault,16,20,MG_lateral_25_32,6,2,4.1124,2.99109434,1.12130566,0.9387,0.07429434,8.697013942,0.210960389,1,1,True,False,False,0.25,True,True
robust_critical,lateral_25_32_fault,20,24,MG_lateral_25_32,6,2,3.3212,2.576,0.7452,0.7581,0.1638,8.272054331,0.25,1,1,True,False,False,0.25,True,True
robust_critical,compound_two_lateral_fault,0,4,MG_lateral_22_24;MG_lateral_25_32,6,2,5.069,4.048,1.021,2.877,0.493,9.107526882,0.284610215,2,2,True,False,False,0.857726368,True,True
robust_critical,compound_two_lateral_fault,4,8,MG_lateral_22_24;MG_lateral_25_32,6,2,5.587,4.274415094,1.312584906,3.171,0.624584906,9.001591456,0.281299733,2,2,True,False,False,0.857726368,True,True
robust_critical,compound_two_lateral_fault,8,12,MG_lateral_22_24;MG_lateral_25_32,6,2,7.1595,7.1595,0.0,4.0635,0.0,0.0,0.0,2,2,True,True,True,0.857726368,True,False
robust_critical,compound_two_lateral_fault,12,16,MG_lateral_22_24;MG_lateral_25_32,6,2,7.326,7.320796226,0.005203774,4.158,0.0,0.016457222,0.000514288,2,2,True,True,False,0.71935838,True,True
robust_critical,compound_two_lateral_fault,16,20,MG_lateral_22_24;MG_lateral_25_32,6,2,8.2695,5.982188679,2.287311321,4.6935,0.876792453,12.052357824,0.290227953,2,2,True,False,False,0.25,True,True
robust_critical,compound_two_lateral_fault,20,24,MG_lateral_22_24;MG_lateral_25_32,6,2,6.6785,5.152,1.5265,3.7905,0.819,11.472752655,0.34375,2,2,True,False,False,0.25,True,True
chronology_hardened_sensitivity,upstream_PCC_outage,0,4,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,10.1791,10.1034,0.0757,2.877,0.0,1.295580389,0.040486887,4,4,True,True,False,0.299058538,True,True
chronology_hardened_sensitivity,upstream_PCC_outage,4,8,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,11.2193,10.948615094,0.270684906,3.171,0.0,3.555314376,0.111103574,4,4,True,True,False,0.299058538,True,True
chronology_hardened_sensitivity,upstream_PCC_outage,8,12,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,14.37705,14.37705,0.0,4.0635,0.0,0.0,0.0,4,4,True,True,True,0.631345376,True,False
chronology_hardened_sensitivity,upstream_PCC_outage,12,16,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,14.7114,14.7114,0.0,4.158,0.0,0.0,0.0,4,4,True,True,True,0.757974658,True,False
chronology_hardened_sensitivity,upstream_PCC_outage,16,20,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,16.60605,15.117959517,1.488090483,4.6935,0.0,15.008031687,0.46900099,4,4,True,True,False,0.25,True,True
chronology_hardened_sensitivity,upstream_PCC_outage,20,24,MG_trunk_1_17;MG_lateral_18_21;MG_lateral_22_24;MG_lateral_25_32,6,2,13.41115,12.387170838,1.023979162,3.7905,0.0,14.828900041,0.463403126,4,4,True,True,False,0.25,True,True
chronology_hardened_sensitivity,lateral_22_24_fault,0,4,MG_lateral_22_24,6,2,2.5482,2.5482,0.0,2.3016,0.0,0.0,0.0,1,1,True,True,True,0.899058538,True,False
chronology_hardened_sensitivity,lateral_22_24_fault,4,8,MG_lateral_22_24,6,2,2.8086,2.8086,0.0,2.5368,0.0,0.0,0.0,1,1,True,True,True,0.899058538,True,False
chronology_hardened_sensitivity,lateral_22_24_fault,8,12,MG_lateral_22_24,6,2,3.5991,3.5991,0.0,3.2508,0.0,0.0,0.0,1,1,True,True,True,0.894050873,True,False
chronology_hardened_sensitivity,lateral_22_24_fault,12,16,MG_lateral_22_24,6,2,3.6828,3.6828,0.0,3.3264,0.0,0.0,0.0,1,1,True,True,True,0.855007665,True,False
chronology_hardened_sensitivity,lateral_22_24_fault,16,20,MG_lateral_22_24,6,2,4.1571,4.1571,0.0,3.7548,0.0,0.0,0.0,1,1,True,True,True,0.497974005,True,False
chronology_hardened_sensitivity,lateral_22_24_fault,20,24,MG_lateral_22_24,6,2,3.3573,3.3573,0.0,3.0324,0.0,0.0,0.0,1,1,True,True,True,0.493845109,True,False
chronology_hardened_sensitivity,lateral_25_32_fault,0,4,MG_lateral_25_32,6,2,2.5208,2.5208,0.0,0.5754,0.0,0.0,0.0,1,1,True,True,True,0.899058538,True,False
chronology_hardened_sensitivity,lateral_25_32_fault,4,8,MG_lateral_25_32,6,2,2.7784,2.7784,0.0,0.6342,0.0,0.0,0.0,1,1,True,True,True,0.899058538,True,False
chronology_hardened_sensitivity,lateral_25_32_fault,8,12,MG_lateral_25_32,6,2,3.5604,3.5604,0.0,0.8127,0.0,0.0,0.0,1,1,True,True,True,0.894050873,True,False
chronology_hardened_sensitivity,lateral_25_32_fault,12,16,MG_lateral_25_32,6,2,3.6432,3.6432,0.0,0.8316,0.0,0.0,0.0,1,1,True,True,True,0.855007665,True,False
chronology_hardened_sensitivity,lateral_25_32_fault,16,20,MG_lateral_25_32,6,2,4.1124,4.1124,0.0,0.9387,0.0,0.0,0.0,1,1,True,True,True,0.504047375,True,False
chronology_hardened_sensitivity,lateral_25_32_fault,20,24,MG_lateral_25_32,6,2,3.3212,3.3212,0.0,0.7581,0.0,0.0,0.0,1,1,True,True,True,0.49875,True,False
chronology_hardened_sensitivity,compound_two_lateral_fault,0,4,MG_lateral_22_24;MG_lateral_25_32,6,2,5.069,5.069,0.0,2.877,0.0,0.0,0.0,2,2,True,True,True,0.899058538,True,False
chronology_hardened_sensitivity,compound_two_lateral_fault,4,8,MG_lateral_22_24;MG_lateral_25_32,6,2,5.587,5.587,0.0,3.171,0.0,0.0,0.0,2,2,True,True,True,0.899058538,True,False
chronology_hardened_sensitivity,compound_two_lateral_fault,8,12,MG_lateral_22_24;MG_lateral_25_32,6,2,7.1595,7.1595,0.0,4.0635,0.0,0.0,0.0,2,2,True,True,True,0.894050873,True,False
chronology_hardened_sensitivity,compound_two_lateral_fault,12,16,MG_lateral_22_24;MG_lateral_25_32,6,2,7.326,7.326,0.0,4.158,0.0,0.0,0.0,2,2,True,True,True,0.855007665,True,False
chronology_hardened_sensitivity,compound_two_lateral_fault,16,20,MG_lateral_22_24;MG_lateral_25_32,6,2,8.2695,8.2695,0.0,4.6935,0.0,0.0,0.0,2,2,True,True,True,0.497974005,True,False
chronology_hardened_sensitivity,compound_two_lateral_fault,20,24,MG_lateral_22_24;MG_lateral_25_32,6,2,6.6785,6.6785,0.0,3.7905,0.0,0.0,0.0,2,2,True,True,True,0.493845109,True,False
